Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
UNION SQUARE RESIDENCES,"1,376,000",505.91,"2,720",May-26,HAVELOCK ROAD,New Sale,Strata,47,"29,277",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,06 to 10
UNION SQUARE RESIDENCES,"1,392,000",505.91,"2,751",May-26,HAVELOCK ROAD,New Sale,Strata,47,"29,617",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
UNION SQUARE RESIDENCES,"1,880,000",710.42,"2,646",May-26,HAVELOCK ROAD,New Sale,Strata,66,"28,485",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,01 to 05
ONE MARINA GARDENS,"1,965,000",645.84,"3,043",May-26,MARINA GARDENS LANE,New Sale,Strata,60,"32,750",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,21 to 25
ONE MARINA GARDENS,"3,155,200","1,065.64","2,961",May-26,MARINA GARDENS LANE,New Sale,Strata,99,"31,871",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,26 to 30
MARINA ONE RESIDENCES,"1,320,000",785.77,"1,680",May-26,MARINA WAY,Resale,Strata,73,"18,082",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
MARINA ONE RESIDENCES,"1,300,000",764.24,"1,701",May-26,MARINA WAY,Resale,Strata,71,"18,310",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,06 to 10
MARINA BAY SUITES,"4,080,000","2,055.92","1,985",May-26,CENTRAL BOULEVARD,Resale,Strata,191,"21,361",-,Condominium,1,99 yrs lease commencing from 2007,01,Core Central Region,36 to 40
UNION SQUARE RESIDENCES,"2,827,000",990.29,"2,855",May-26,HAVELOCK ROAD,New Sale,Strata,92,"30,728",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,26 to 30
ONE MARINA GARDENS,"2,956,400","1,011.82","2,922",May-26,MARINA GARDENS LANE,New Sale,Strata,94,"31,451",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,11 to 15
MARINA BAY RESIDENCES,"5,900,000","2,378.84","2,480",May-26,MARINA BOULEVARD,Resale,Strata,221,"26,697",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,21 to 25
UNION SQUARE RESIDENCES,"2,119,000",699.66,"3,029",May-26,HAVELOCK ROAD,New Sale,Strata,65,"32,600",-,Apartment,1,99 yrs lease commencing from 2024,01,Rest of Central Region,11 to 15
ONE MARINA GARDENS,"3,486,400","1,173.28","2,972",May-26,MARINA GARDENS LANE,New Sale,Strata,109,"31,985",-,Apartment,1,99 yrs lease commencing from 2023,01,Rest of Central Region,06 to 10
