Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE CENTRIS,"2,135,000","1,259.39","1,695",May-26,JURONG WEST CENTRAL 3,Resale,Strata,117,"18,248",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,11 to 15
LAKE GRANDE,"1,900,000",979.52,"1,940",May-26,JURONG LAKE LINK,Resale,Strata,91,"20,879",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,01 to 05
PARC OASIS,"1,330,000","1,076.4","1,236",May-26,JURONG EAST AVENUE 1,Resale,Strata,100,"13,300",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,11 to 15
PARC VISTA,"1,150,000","1,076.4","1,068",May-26,CORPORATION ROAD,Resale,Strata,100,"11,500",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,01 to 05
THE MAYFAIR,"890,000",753.48,"1,181",May-26,JURONG EAST STREET 32,Resale,Strata,70,"12,714",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,16 to 20
THE CENTRIS,"2,138,000","1,302.44","1,642",May-26,JURONG WEST CENTRAL 3,Resale,Strata,121,"17,669",-,Apartment,1,99 yrs lease commencing from 2006,22,Outside Central Region,11 to 15
THE MAYFAIR,"1,455,000","1,184.04","1,229",May-26,JURONG EAST STREET 32,Resale,Strata,110,"13,227",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,01 to 05
LAKE GRANDE,"1,150,000",613.55,"1,874",May-26,JURONG LAKE LINK,Resale,Strata,57,"20,175",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,01 to 05
LAKEVILLE,"1,780,000",947.23,"1,879",May-26,JURONG LAKE LINK,Resale,Strata,88,"20,227",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,16 to 20
LAKE GRANDE,"1,390,000",721.19,"1,927",May-26,JURONG LAKE LINK,Resale,Strata,67,"20,746",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,11 to 15
PARC VISTA,"1,430,000","1,248.62","1,145",May-26,CORPORATION ROAD,Resale,Strata,116,"12,328",-,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,01 to 05
LAKEHOLMZ,"2,050,000","1,517.72","1,351",May-26,CORPORATION ROAD,Resale,Strata,141,"14,539",-,Condominium,1,99 yrs lease commencing from 2001,22,Outside Central Region,06 to 10
THE LAKEFRONT RESIDENCES,"825,000",495.14,"1,666",May-26,LAKESIDE DRIVE,Resale,Strata,46,"17,935",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,01 to 05
SORA,"1,765,000",731.95,"2,411",May-26,YUAN CHING ROAD,New Sale,Strata,68,"25,956",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15
J GATEWAY,"2,650,500","1,237.86","2,141",May-26,GATEWAY DRIVE,Resale,Strata,115,"23,048",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,36 to 40
THE LAKEGARDEN RESIDENCES,"2,693,000","1,291.68","2,085",May-26,YUAN CHING ROAD,New Sale,Strata,120,"22,442",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20
THE LAKEGARDEN RESIDENCES,"2,728,000","1,237.86","2,204",May-26,YUAN CHING ROAD,New Sale,Strata,115,"23,722",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,01 to 05
J GATEWAY,"1,590,000",958,"1,660",May-26,GATEWAY DRIVE,Resale,Strata,89,"17,865",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,01 to 05
SORA,"1,851,000",731.95,"2,529",May-26,YUAN CHING ROAD,New Sale,Strata,68,"27,221",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,11 to 15
PARC OASIS,"1,339,000","1,076.4","1,244",Apr-26,JURONG EAST AVENUE 1,Resale,Strata,100,"13,390",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,16 to 20
