Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE SEN,"2,400,000",936.47,"2,563",May-26,JALAN JURONG KECHIL,New Sale,Strata,87,"27,586",-,Condominium,1,99 yrs lease commencing from 2025,21,Rest of Central Region,06 to 10
THE SEN,"2,898,000","1,259.39","2,301",May-26,JALAN JURONG KECHIL,New Sale,Strata,117,"24,769",-,Condominium,1,99 yrs lease commencing from 2025,21,Rest of Central Region,01 to 05
NAVA GROVE,"2,194,400",785.77,"2,793",May-26,PINE GROVE,New Sale,Strata,73,"30,060",-,Condominium,1,99 yrs lease commencing from 2024,21,Rest of Central Region,21 to 25
1 KING ALBERT PARK,"3,135,000","1,571.54","1,995",May-26,KING ALBERT PARK,Resale,Strata,146,"21,473",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
HILLVIEW GREEN,"1,500,000","1,011.82","1,482",May-26,HUME AVENUE,Resale,Strata,94,"15,957",-,Condominium,1,999 yrs lease commencing from 1883,21,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"2,330,000","1,205.57","1,933",May-26,TOH TUCK ROAD,Resale,Strata,112,"20,804",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
THE SEN,"1,541,000",678.13,"2,272",May-26,JALAN JURONG KECHIL,New Sale,Strata,63,"24,460",-,Condominium,1,99 yrs lease commencing from 2025,21,Rest of Central Region,01 to 05
THE SEN,"2,047,000",871.88,"2,348",May-26,JALAN JURONG KECHIL,New Sale,Strata,81,"25,272",-,Condominium,1,99 yrs lease commencing from 2025,21,Rest of Central Region,01 to 05
MAYFAIR MODERN,"1,700,000",850.36,"1,999",May-26,RIFLE RANGE ROAD,Resale,Strata,79,"21,519",-,Condominium,1,99 yrs lease commencing from 2018,21,Rest of Central Region,06 to 10
VIEW AT KISMIS,"1,380,000",699.66,"1,972",May-26,LORONG KISMIS,Sub Sale,Strata,65,"21,231",-,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05
THE SEN,"1,531,000",678.13,"2,258",May-26,JALAN JURONG KECHIL,New Sale,Strata,63,"24,302",-,Condominium,1,99 yrs lease commencing from 2025,21,Rest of Central Region,01 to 05
