Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVERBAY,"660,000",387.5,"1,703",May-26,MAR THOMA ROAD,Resale,Strata,36,"18,333",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,21 to 25
VERTICUS,"1,620,000",699.66,"2,315",May-26,JALAN KEMAMAN,Resale,Strata,65,"24,923",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
THE ARCADY AT BOON KENG,"2,808,000","1,087.16","2,583",May-26,SAINT BARNABAS LANE,New Sale,Strata,101,"27,802",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
THE ARCADY AT BOON KENG,"3,770,000","1,410.08","2,674",May-26,SAINT BARNABAS LANE,New Sale,Strata,131,"28,779",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
ONE ST MICHAEL'S,"2,280,000","1,184.04","1,926",May-26,ST. MICHAEL'S ROAD,Resale,Strata,110,"20,727",-,Condominium,1,Freehold,12,Rest of Central Region,11 to 15
THE ARCADY AT BOON KENG,"2,094,000",764.24,"2,740",May-26,SAINT BARNABAS LANE,New Sale,Strata,71,"29,493",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
PARC HAVEN,"2,368,888","2,518.78",940,May-26,LORONG LIMAU,Resale,Strata,234,"10,123",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
IRESIDENCES,"2,575,000","1,313.21","1,961",May-26,IRRAWADDY ROAD,Resale,Strata,122,"21,107",-,Apartment,1,Freehold,12,Rest of Central Region,21 to 25
EIGHT RIVERSUITES,"840,000",441.32,"1,903",May-26,WHAMPOA EAST,Resale,Strata,41,"20,488",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,26 to 30
KALLANG RIVERSIDE,"2,605,000","1,001.05","2,602",May-26,KAMPONG BUGIS,Resale,Strata,93,"28,011",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
SHAW PLAZA - TWIN HEIGHTS,"2,520,000","1,420.85","1,774",May-26,BALESTIER ROAD,Resale,Strata,132,"19,091",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
THE ELYSIA,"1,740,000","1,410.08","1,234",May-26,MAR THOMA ROAD,Resale,Strata,131,"13,282",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,01 to 05
EIGHT RIVERSUITES,"1,340,000",699.66,"1,915",May-26,WHAMPOA EAST,Resale,Strata,65,"20,615",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,16 to 20
JUI RESIDENCES,"908,888",462.85,"1,964",May-26,SERANGOON ROAD,Resale,Strata,43,"21,137",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
THE INTERWEAVE,"1,245,000",721.19,"1,726",May-26,KIM KEAT ROAD,Resale,Strata,67,"18,582",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
THE TIER,"870,000",548.96,"1,585",May-26,PEGU ROAD,Resale,Strata,51,"17,059",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
BLISS LOFT,"1,398,000","1,399.32",999,May-26,KIM KEAT CLOSE,Resale,Strata,130,"10,754",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
KALLANG RIVERSIDE,"3,455,000","1,431.61","2,413",May-26,KAMPONG BUGIS,Resale,Strata,133,"25,977",-,Apartment,1,Freehold,12,Rest of Central Region,26 to 30
OLEANDER TOWERS,"1,830,000","1,140.98","1,604",May-26,LORONG 1 TOA PAYOH,Resale,Strata,106,"17,264",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,06 to 10
PRESTIGE HEIGHTS,"760,000",430.56,"1,765",May-26,BALESTIER ROAD,Resale,Strata,40,"19,000",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
THE CENTRIO,"3,960,000","2,970.86","1,333",May-26,IRRAWADDY ROAD,Resale,Strata,276,"14,348",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
ST MICHAEL'S CONDOMINIUM,"1,448,000",958,"1,511",May-26,ST. MICHAEL'S ROAD,Resale,Strata,89,"16,270",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
PINNACLE 16,"1,025,000",581.26,"1,763",May-26,SHAN ROAD,Resale,Strata,54,"18,981",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
REGENT RESIDENCES,"1,380,000",818.06,"1,687",May-26,SERANGOON ROAD,Resale,Strata,76,"18,158",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
VISTA RESIDENCES,"2,500,000","1,194.8","2,092",May-26,JALAN DATOH,Resale,Strata,111,"22,523",-,Condominium,1,Freehold,12,Rest of Central Region,06 to 10
THE ARCADY AT BOON KENG,"2,698,000",968.76,"2,785",May-26,SAINT BARNABAS LANE,New Sale,Strata,90,"29,978",-,Apartment,1,Freehold,12,Rest of Central Region,21 to 25
THE ARCADY AT BOON KENG,"2,486,000",968.76,"2,566",May-26,SAINT BARNABAS LANE,New Sale,Strata,90,"27,622",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
THE CITRINE,"1,680,000",958,"1,754",Apr-26,JALAN DATOH,Resale,Strata,89,"18,876",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
GEM RESIDENCES,"1,990,000",936.47,"2,125",Apr-26,LORONG 5 TOA PAYOH,Resale,Strata,87,"22,874",-,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,06 to 10
BLISS LOFT,"1,140,000",807.3,"1,412",Apr-26,KIM KEAT CLOSE,Resale,Strata,75,"15,200",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
THE INTERWEAVE,"1,006,688",688.9,"1,461",Apr-26,KIM KEAT ROAD,Resale,Strata,64,"15,730",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
SHAW PLAZA - TWIN HEIGHTS,"1,978,000","1,237.86","1,598",Apr-26,BALESTIER ROAD,Resale,Strata,115,"17,200",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
THE ARCADY AT BOON KENG,"3,926,000","1,410.08","2,784",Apr-26,SAINT BARNABAS LANE,New Sale,Strata,131,"29,969",-,Apartment,1,Freehold,12,Rest of Central Region,21 to 25
