Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE AXIS,"1,360,000",753.48,"1,805",May-26,MANDALAY ROAD,Resale,Strata,70,"19,429",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
21 SHELFORD,"1,850,000",914.94,"2,022",May-26,SHELFORD ROAD,Resale,Strata,85,"21,765",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
SHELFORD VIEW,"5,880,000","3,121.56","1,884",May-26,SHELFORD ROAD,Resale,Strata,290,"20,276",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
THE ARMADALE,"1,800,000",871.88,"2,064",May-26,GILSTEAD ROAD,Resale,Strata,81,"22,222",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
CHANCERY ESQUIRE,"3,620,000","1,851.41","1,955",May-26,CHANCERY LANE,Resale,Strata,172,"21,047",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
TREVOSE PARK,"2,535,000","1,237.86","2,048",May-26,TREVOSE CRESCENT,Resale,Strata,115,"22,043",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
HILLCREST ARCADIA,"2,250,000","1,711.48","1,315",May-26,ARCADIA ROAD,Resale,Strata,159,"14,151",-,Condominium,1,99 yrs lease commencing from 1975,11,Core Central Region,06 to 10
NEWTON 18,"2,123,000",925.7,"2,293",May-26,NEWTON ROAD,Resale,Strata,86,"24,686",-,Apartment,1,Freehold,11,Core Central Region,21 to 25
HILLCREST ARCADIA,"1,990,000","1,420.85","1,401",May-26,ARCADIA ROAD,Resale,Strata,132,"15,076",-,Condominium,1,99 yrs lease commencing from 1975,11,Core Central Region,11 to 15
THE AXIS,"1,465,000",818.06,"1,791",May-26,MANDALAY ROAD,Resale,Strata,76,"19,276",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
