Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
EASTWOOD GREEN,"1,250,000",979.52,"1,276",May-26,EASTWOOD ROAD,Resale,Strata,91,"13,736",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
UBER 388,"1,700,000",925.7,"1,836",May-26,UPPER EAST COAST ROAD,Resale,Strata,86,"19,767",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
EASTWOOD CENTRE,"1,000,000",925.7,"1,080",May-26,EASTWOOD ROAD,Resale,Strata,86,"11,628",-,Apartment,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
BAYWATER,"2,800,888","2,400.37","1,167",May-26,BEDOK RESERVOIR ROAD,Resale,Strata,223,"12,560",-,Condominium,1,99 yrs lease commencing from 2001,16,Outside Central Region,16 to 20
PALMWOODS,"1,640,000","1,291.68","1,270",May-26,UPPER CHANGI ROAD,Resale,Strata,120,"13,667",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
CASA MERAH,"2,165,000","1,345.5","1,609",May-26,TANAH MERAH KECHIL AVENUE,Resale,Strata,125,"17,320",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,06 to 10
THE SUMMIT,"1,663,000",839.59,"1,981",May-26,UPPER EAST COAST ROAD,Resale,Strata,78,"21,321",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
LAGUNA GREEN,"1,820,000","1,313.21","1,386",May-26,JALAN HAJIJAH,Resale,Strata,122,"14,918",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,750,000","1,345.5","2,044",May-26,BAYSHORE ROAD,Resale,Strata,125,"22,000",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
CHANGI COURT,"1,300,000",839.59,"1,548",May-26,UPPER CHANGI ROAD EAST,Resale,Strata,78,"16,667",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
PINERY RESIDENCES,"2,198,000",861.12,"2,552",May-26,BEDOK RESERVOIR ROAD,New Sale,Strata,80,"27,475",-,Apartment,1,99 yrs lease commencing from 2025,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,798,000","1,345.5","2,080",May-26,BAYSHORE ROAD,Resale,Strata,125,"22,384",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
GRANDEUR PARK RESIDENCES,"1,140,000",581.26,"1,961",May-26,BEDOK SOUTH AVENUE 3,Resale,Strata,54,"21,111",-,Condominium,1,99 yrs lease commencing from 2016,16,Outside Central Region,01 to 05
ARCHIPELAGO,"2,350,000","1,399.32","1,679",May-26,BEDOK RESERVOIR ROAD,Resale,Strata,130,"18,077",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
STRATFORD COURT,"2,020,000","1,872.94","1,079",May-26,BEDOK RIA CRESCENT,Resale,Strata,174,"11,609",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
THE BAYSHORE,"1,388,000",936.47,"1,482",May-26,BAYSHORE ROAD,Resale,Strata,87,"15,954",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,06 to 10
ECO,"853,000",699.66,"1,219",May-26,BEDOK SOUTH AVENUE 3,Resale,Strata,65,"13,123",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,01 to 05
